LOT #,Reg #,Name,ProS,HB,GM,CED,BW,WW,YW,ADG,Milk,ME,HPG,CEM,Stay,Marb,YG,CW,RE,BF
89,4281197,LOOSLI REDD 025,138,82,56,12,-0.8,69,118,0.31,32,6,13,8,14,0.44,0.2,37,0.07,0.04
90,4281461,LOOSLI FORTUNE 086,122,70,52,12,-4.7,41,79,0.23,26,0,11,7,15,0.38,0.07,17,0.03,0.02
91,4281453,LOOSLI STILLWATER 082,120,56,63,11,0.1,45,83,0.24,32,5,12,6,14,0.61,0.01,13,0.2,0.02
92,4281475,LOOSLI STILLWATER 093,192,131,62,12,0.2,69,111,0.26,31,2,17,7,22,0.52,0.07,37,0.27,0.02
93,4281551,LOOSLI FULLBACK 0107,125,101,24,14,-2.3,61,103,0.27,28,-2,9,7,20,0.17,0.08,14,-0.11,0.01
94,4281637,LOOSLI DEFENDER 0126,133,99,34,8,0.2,66,110,0.28,31,2,19,5,17,0.34,0.05,21,0.11,0.01
95,4281635,LOOSLI TOP LINE 0125,144,101,43,15,-2.7,60,99,0.25,30,4,15,9,18,0.28,0.08,32,0.18,0.02
96,4281545,LOOSLI STILLWATER 0104,138,96,43,17,-6,55,89,0.21,17,0,13,12,16,0.52,0.1,20,0.25,0.05
97,4281567,LOOSLI MERLIN 0115,148,99,49,18,-5.8,58,99,0.25,34,1,6,10,20,0.45,0.11,20,-0.06,0.02
98,4281759,LOOSLI BRUNSWICK 0164,152,103,49,15,-0.5,71,115,0.28,29,2,13,9,17,0.53,0.05,26,0.27,0.03
99,4281347,LOOSLI FRONT LINES 053,124,77,48,15,-3.3,65,101,0.22,22,1,12,9,13,0.65,0.1,20,0.18,0.05
100,4281581,LOOSLI SILVER 0122,165,115,49,13,-1.9,70,109,0.25,30,2,20,7,17,0.48,0.16,35,0,0.02
101,4281553,LOOSLI STILLWATER 0108,126,89,37,14,-1,49,73,0.15,28,-4,12,8,16,0.59,0.01,7,0.06,0.01
102,4281745,LOOSLI FRONTLINES 0157,125,74,51,14,-2.2,65,118,0.33,26,6,11,9,14,0.42,0.03,19,0.19,0.02
103,4281767,LOOSLI SPECIAL FORCES 0168,147,126,21,15,-2.2,66,95,0.18,24,-2,12,8,,,,,,
104,4281655,LOOSLI SPECIAL FORCES 0135,108,98,10,12,-3.3,58,85,0.17,21,-3,11,6,19,0.43,0,-3,-0.04,0.01
105,4281879,LOOSLI FRONTLINES 0200,118,77,41,13,-1.8,64,100,0.23,23,4,9,9,16,0.4,0.1,32,0.14,0.02
106,4281831,LOOSLI FORTUNE 0176,141,105,36,14,-3.5,56,90,0.21,30,2,17,9,12,0.22,0.14,43,0.3,0.04
107,4281731,LOOSLI FORTUNE 0150,125,82,43,14,-4.6,52,91,0.25,31,0,11,8,16,0.43,0.02,14,0.23,0.03
108,4281671,LOOSLI FORTUNE 0143,146,102,43,11,-3.2,67,121,0.33,28,4,15,7,18,0.18,0.04,36,0.33,0.01
109,4281777,LOOSLI FORTUNE 0173,114,73,40,12,-2.8,61,106,0.28,33,1,14,8,19,0.26,0.05,19,0.05,0.01
110,4281839,LOOSLI SPECIAL FORCES 0180,113,87,26,13,-1.3,57,91,0.21,28,-2,10,7,16,0.53,0.04,23,0.09,0
111,4281859,LOOSLI TOP LINE 0190,129,80,50,15,-1.2,50,80,0.19,22,2,14,10,19,0.34,0.19,22,-0.12,0.04
112,4281467,LOOSLI BOURNE 089,141,89,51,12,-4.6,71,110,0.24,31,1,14,5,16,0.73,0.18,31,-0.03,0.03
113,4281743,LOOSLI FRONTLINES 0156,121,93,29,14,-2.5,64,99,0.22,23,4,9,10,17,0.38,-0.04,13,0.39,0.03
114,4281747,LOOSLI FRONTLINES 0158,133,93,40,15,-3.5,56,88,0.21,24,2,16,10,15,0.4,0.02,21,0.31,0.03
115,4281855,LOOSLI TRIAD 0188,131,105,27,16,-5.4,62,100,0.24,29,1,10,10,17,0.57,0.1,37,0.3,0.03
